Facility,Start Date,End Date,Region,State,Non-Add,Facility Type,Primary Facility,Center Area,Old Level,New Level,Class,Hours Of Ops,AT MIL,Oceanic,Arpt Ops,Instr Appr,Acft Handled,Instr Ops,Stage III/TCA,Seasonal,Classification
00J:Cedar Springs/GA-Pacific,199610,Present,7,GA,Yes,F,OZR,ZJX,0,0,,240,No,No,No,Yes,No,No,No,No,(12) Non-FAA Facility
01C:Grant,199810,Present,C,MI,No,F,ZAU,ZAU,,,,,No,No,No,Yes,No,No,No,No,(12) Non-FAA Facility
02A:Clanton/Gragg-Wade Field,------,Present,7,AL,Yes,F,MGM,ZTL,,,,240,No,No,No,Yes,No,No,No,No,(12) Non-FAA Facility
02G:E Liverpool/Columbiana,199210,Present,C,OH,Yes,F,PIT,ZOB,,,,,No,No,No,Yes,No,No,No,No,(12) Non-FAA Facility
03A:Cross Anchor/S Aero Sports,199810,Present,7,SC,No,F,ZTL,ZTL,,,,,No,No,No,Yes,No,No,No,No,(12) Non-FAA Facility
03NY:RiverHead/Talmage Field Arpt,200501,Present,1,NY,Yes,F,N90,ZNY,,,,,No,No,No,Yes,No,No,No,No,(12) Non-FAA Facility
03XS:Hebbronville/JHogg Cnty,------,Present,2,TX,No,F,ZHU,ZHU,,,,,No,No,No,Yes,No,No,No,No,(12) Non-FAA Facility
03Y:Hallock Municipal,200112,Present,C,MN,No,F,ZMP,ZMP,,,,,No,No,No,Yes,No,No,No,No,(12) Non-FAA Facility
04G:Youngstown Lansdowne,------,Present,C,OH,Yes,F,YNG,ZOB,,,,,No,No,No,Yes,No,No,No,No,(12) Non-FAA Facility
04J:Darlington,200110,Present,7,SC,Yes,F,FLO,ZJX,,,,240,No,No,No,Yes,No,No,No,No,(12) Non-FAA Facility
05C:Griffith/Merrillville,199210,Present,C,IN,Yes,F,C90,ZAU,,,,,No,No,No,Yes,No,No,No,No,(12) Non-FAA Facility
05G:Sandusky/Williams Fld,199210,Present,C,OH,Yes,F,YNG,ZOB,,,,,No,No,No,Yes,No,No,No,No,(12) Non-FAA Facility
05J:Robertsdale/Bonner Fld,199810,Present,7,AL,No,F,ZJX,ZJX,,,,,No,No,No,Yes,No,No,No,No,(12) Non-FAA Facility
06A:Tuskegee/Moton Fld Muni,199210,Present,7,AL,Yes,F,CSG,ZTL,,,,,No,No,No,Yes,No,No,No,No,(12) Non-FAA Facility
06C:Chicago/Schaumburg Rgnl,199810,Present,C,IL,Yes,F,C90,ZAU,,,,,No,No,No,Yes,No,No,No,No,(12) Non-FAA Facility
06D:Rolla Municipal,199906,Present,C,ND,No,F,ZMP,ZMP,,,,,No,No,No,Yes,No,No,No,No,(12) Non-FAA Facility
06N:Middletown/Randall,199010,Present,1,NY,Yes,F,N90,ZNY,,,,,No,No,No,Yes,No,No,No,No,(12) Non-FAA Facility
07C:Auburn/DeKalb County,------,Present,C,IN,Yes,F,FWA,ZAU,,,,,No,No,No,Yes,No,No,No,No,(12) Non-FAA Facility
07F:Gladewater Municipal,------,Present,2,TX,Yes,F,GGG,ZFW,,,,,No,No,No,Yes,No,No,No,No,(12) Non-FAA Facility
07G:Charlotte/Fitch H Beach,199210,Present,C,MI,Yes,F,LAN,ZOB,,,,,No,No,No,Yes,No,No,No,No,(12) Non-FAA Facility
07V:La Veta/Cuchara Valley,199110,Present,S,CO,No,F,ZDV,ZDV,,,,,No,No,No,Yes,No,No,No,No,(12) Non-FAA Facility
08A:Wetumpka Municipal,199610,Present,7,AL,Yes,F,MGM,ZTL,,,,,No,No,No,Yes,No,No,No,No,(12) Non-FAA Facility
08C:Jenison/Riverview,------,Present,C,MI,Yes,F,GRR,ZAU,,,,,No,No,No,Yes,No,No,No,No,(12) Non-FAA Facility
08K:Harvard State,199610,Present,3,NE,No,F,ZMP,ZMP,,,,,No,No,No,Yes,No,No,No,No,(12) Non-FAA Facility
09A:Butler-Choctaw County,202002,Present,7,AL,Yes,F,NMM,ZME,,,,,No,No,No,Yes,No,No,No,No,(12) Non-FAA Facility
09J:Jekyll Island,------,Present,7,GA,No,F,ZJX,ZJX,,,,,No,No,No,Yes,No,No,No,No,(12) Non-FAA Facility
09R:Woodville/Tyler County,202002,Present,2,TX,Yes,F,NMM,ZME,,,,,No,No,No,Yes,No,No,No,No,(12) Non-FAA Facility
09V:Fowler,199110,Present,S,CO,No,F,ZDV,ZDV,,,,,No,No,No,Yes,No,No,No,No,(12) Non-FAA Facility
0A1:Concord/Propst,------,Present,7,NC,Yes,F,CLT,ZTL,,,,,No,No,No,Yes,No,No,No,No,(12) Non-FAA Facility
0A3:Smithville Municipal,202002,Present,7,TN,No,F,ZME,ZME,,,,,No,No,No,Yes,No,No,No,No,(12) Non-FAA Facility
0A7:Hendersonville,199210,Present,7,NC,Yes,F,AVL,ZTL,,,,,No,No,No,Yes,No,No,No,No,(12) Non-FAA Facility
0A9:Elizabethton Municipal,------,Present,7,TN,No,F,ZTL,ZTL,,,,,No,No,No,Yes,No,No,No,No,(12) Non-FAA Facility
0B4:Hartington Municipal,199907,Present,C,NE,No,F,ZMP,ZMP,,,,,No,No,No,Yes,No,No,No,No,(12) Non-FAA Facility
0B5:Montague/Turners Falls,------,Present,E,MA,No,F,ZBW,ZBW,,,,,No,No,No,Yes,No,No,No,No,(12) Non-FAA Facility
0B8:Fishers Isl/Elizabeth Fld,199810,Present,1,NY,Yes,F,PVD,ZBW,,,,,No,No,No,Yes,No,No,No,No,(12) Non-FAA Facility
0CA0:Drew Medical Center,201106,Present,3,AL,Yes,F,M98,ZMP,0,0,,240,No,No,No,No,No,No,No,No,(12) Non-FAA Facility
0D1:South Haven Area Regional,199610,Present,C,MI,Yes,F,LAN,ZOB,,,,,No,No,No,Yes,No,No,No,No,(12) Non-FAA Facility
0D2:Tecumseh Products,------,Present,C,MI,Yes,F,D21,ZOB,,,,,No,No,No,Yes,No,No,No,No,(12) Non-FAA Facility
0D8:Gettysburg Muni Arpt,200112,Present,C,SD,Yes,F,ZMP,ZMP,,,,,No,No,No,Yes,No,No,No,No,(12) Non-FAA Facility
0F2:Bowie Municipal,199610,Present,2,TX,No,F,ZFW,ZFW,,,,,No,No,No,Yes,No,No,No,No,(12) Non-FAA Facility
0F7:Eufaula/Fountainhead Ldge,------,Present,2,OK,Yes,F,TUL,ZFW,,,,,No,No,No,Yes,No,No,No,No,(12) Non-FAA Facility
