Calendar Year,Facility,IFR Itinerant Air Carrier,IFR Itinerant Air Taxi,IFR Itinerant GA,IFR Itinerant Military,IFR Overflight Air Carrier,IFR Overflight Air Taxi,IFR Overflight GA,IFR Overflight Military,VFR Itinerant Air Carrier,VFR Itinerant Air Taxi,VFR Itinerant GA,VFR Itinerant Military,VFR Overflight Air Carrier,VFR Overflight Air Taxi,VFR Overflight GA,VFR Overflight Military,Local Civil,Local Military,
1989,ABQ,"14,643","8,958","16,597","6,416",0,0,0,0,"4,519",647,"1,855","1,244",0,0,0,0,468,"1,222",
1989,ADW,5,0,"2,870","21,048",0,0,"2,098",507,123,99,926,323,0,0,0,0,"1,594","7,554",
1989,ANC,"21,955","11,859","6,710",366,0,0,0,0,"1,272",776,508,124,0,0,0,0,"3,175",66,
1989,ATL,"136,170","40,288","5,106",277,0,0,0,0,"5,315","1,657",764,88,0,0,0,0,232,4,
1989,BDL,"14,916","15,100","8,614","1,350",0,0,0,0,"1,242","1,378","1,712",443,0,0,0,0,"1,169",114,
1989,BNA,"26,583","14,110","17,112","1,165",0,0,0,0,"1,662",664,"1,255",269,0,0,0,0,477,2,
1989,BOS,"57,920","34,368","9,686",30,0,0,"3,905",9,"3,609","1,360","2,248",30,0,0,0,0,"1,497",0,
1989,BWI,"37,855","20,205","12,272",184,0,0,0,0,"2,181",870,"1,169",103,0,0,0,0,235,48,
1989,CLE,"34,105","15,654","9,490",653,0,0,0,0,"2,388",642,900,124,0,0,0,0,296,2,
1989,CLT,"58,251","28,971","17,597",684,0,0,0,0,"2,525",827,"1,866",205,0,0,0,0,385,0,
1989,CVG,"28,829","28,796","5,144",250,0,0,0,0,"1,983","1,342","1,712",137,0,0,0,0,109,0,
1989,DAY,"24,470","12,092","6,472",2,0,0,0,0,"1,524",892,767,26,0,0,0,0,592,1,
1989,DCA,"46,695","13,255","15,201",18,0,0,0,0,"2,611",818,"1,805",32,0,0,0,0,8,0,
1989,DEN,"72,158","27,707","8,221",315,0,127,594,183,"2,886","1,393","1,129",135,0,0,0,0,37,0,
1989,DFW,"123,682","46,572","3,657",148,0,0,0,0,"2,300","1,703",627,64,0,0,0,0,52,15,
1989,DTW,"68,182","11,923","10,533",12,0,0,0,0,"2,300","1,101",911,30,0,0,0,0,"2,239",3,
1989,EWR,"62,988","22,534","5,353",80,0,722,"6,611",265,"3,077",912,"1,015",78,0,0,0,0,0,0,
1989,FAI,"2,763","1,827","1,295",67,0,0,0,0,733,"2,504","4,241",118,0,0,0,0,"4,405",275,
1989,FLL,"22,832","12,195","15,241",292,0,486,"16,933",249,"1,021",628,789,213,0,0,0,0,926,24,
1989,HNL,"44,334","12,685","15,945","4,265",0,0,0,0,"2,453","1,050","1,905",896,0,0,0,0,"5,470",662,
1989,HOU,"27,097","4,165","30,065",245,0,0,"5,221","1,228","1,979",751,"2,914",672,0,0,0,0,383,0,
1989,HPN,979,"8,059","13,214",10,0,0,0,0,608,"1,182","16,140",53,0,0,0,0,"8,266",0,
1989,IAD,"28,579","10,246","11,559",509,0,0,0,0,"1,313",743,"1,259",127,0,0,0,0,270,66,
1989,IAH,"49,366","11,626","9,291",226,0,0,0,0,"2,750",493,"1,090",118,0,0,0,0,0,0,
1989,IND,"25,550","10,630","12,175",344,0,0,0,0,"1,622",783,"1,252",156,0,0,0,0,487,26,
1989,JFK,"52,619","25,123","4,832",122,0,193,"3,489",631,"1,757",750,172,12,0,0,0,0,0,0,
1989,LAS,"46,423","13,679","21,244","1,027",0,0,0,0,"1,648","1,532","1,649",189,0,0,0,0,"5,113",134,
1989,LAX,"105,901","37,138","8,806",782,0,4,"3,145",45,"3,155","1,221","1,486",164,0,0,0,0,"1,423",109,
1989,LGA,"64,405","15,570","5,436",60,0,"13,800","12,820",136,"3,478",688,604,51,0,0,0,0,9,13,
1989,MCI,"24,596","7,885","3,849",144,0,0,0,0,"1,858",593,393,118,0,0,0,0,664,229,
1989,MCO,"40,963","12,574","7,801",766,0,0,0,0,"2,193",646,771,782,0,0,0,0,28,10,
1989,MDW,"31,528","24,489","18,360",418,0,274,"3,522",79,"1,489","1,237","2,177",282,0,0,0,0,"1,492",58,
1989,MEM,"45,705","14,870","16,729","1,368",0,0,0,0,"1,699",906,917,252,0,0,0,0,252,12,
1989,MIA,"66,838","18,540","16,964","1,349",0,0,0,0,"2,115",640,"1,008",198,0,0,0,0,0,0,
1989,MSP,"52,934","16,422","12,437",405,0,0,0,0,"2,758","1,184","2,391",166,0,0,0,0,965,2,
1989,MSY,"21,529","4,569","5,306",133,0,0,0,0,"2,304","1,238",307,163,0,0,0,0,112,100,
1989,OGG,"12,445","14,310","3,567",680,0,0,0,0,791,522,570,268,0,0,0,0,"7,023","1,068",
1989,ONT,"21,215","5,077","7,263",76,0,62,"4,715",17,973,859,875,86,0,0,0,0,"1,398",28,
1989,ORD,"155,417","35,195","4,633",612,0,0,0,0,"1,237",837,"2,061",228,0,0,0,0,239,0,
1989,PBI,"14,519","6,357","28,230",318,0,0,0,0,479,287,"1,183",167,0,0,0,0,"5,564",10,
1989,PDX,"23,966","23,571","11,556","2,322",0,190,"3,685",95,"1,228",815,"1,215",411,0,0,0,0,900,529,
1989,PHL,"45,497","31,535","12,573",155,0,0,0,0,"2,674","1,273","1,543",107,0,0,0,0,0,0,
1989,PHX,"69,783","17,141","26,182","1,740",0,0,0,0,"2,061",705,"1,416",343,0,0,0,0,"1,437",18,
1989,PIT,"60,512","23,070","5,269","1,156",0,0,0,0,"2,958","1,077","1,094",385,0,0,0,0,0,0,
1989,RDU,"29,760","13,531","18,473","1,343",0,0,0,0,"1,536",629,"1,271",405,0,0,0,0,"1,156",101,
